customer_id,first_name,last_name,email,phone,city,customer_segment,registration_date
22,Elizabeth,Scott,elizabeth.scott22@gmail.com,+1 (206) 336-93-54,Seattle,VIP,2022-07-02
23,Thomas,Thomas,thomas.thomas23@gmail.com,+1 (817) 741-26-38,Fort Worth,Retail,2024-02-14
24,Emily,Martinez,emily.martinez24@icloud.com,+1 (408) 674-96-79,San Jose,Retail,2023-06-29
25,Michelle,Perez,michelle.perez25@outlook.com,+1 (619) 453-68-54,San Diego,Retail,2022-10-10
26,Donna,Wright,donna.wright26@gmail.com,+1 (713) 232-94-63,Houston,Retail,2022-09-04
27,Ryan,Wright,ryan.wright27@gmail.com,+1 (713) 808-14-67,Houston,Wholesale,2022-09-08
28,Andrew,Carter,andrew.carter28@outlook.com,+1 (817) 649-39-79,Fort Worth,Wholesale,2024-02-12
29,Steven,Nguyen,steven.nguyen29@outlook.com,+1 (213) 343-74-47,Los Angeles,VIP,2024-04-15
30,Jeffrey,Adams,jeffrey.adams30@yahoo.com,+1 (303) 526-83-86,Denver,Retail,2022-08-31
31,Sarah,Mitchell,sarah.mitchell31@icloud.com,+1 (602) 876-76-38,Phoenix,Retail,2022-11-04
32,James,Smith,james.smith32@icloud.com,+1 (206) 805-32-90,Seattle,Retail,2023-07-24
33,Barbara,Brown,barbara.brown33@yahoo.com,+1 (904) 858-95-58,Jacksonville,Retail,2023-12-15
34,Daniel,Roberts,daniel.roberts34@icloud.com,+1 (602) 507-58-33,Phoenix,Wholesale,2022-09-04
35,Kimberly,Perez,kimberly.perez35@icloud.com,+1 (408) 347-69-17,San Jose,Retail,2023-03-03
36,Steven,Perez,steven.perez36@outlook.com,+1 (602) 597-41-42,Phoenix,Retail,2022-12-05
37,Christopher,Jackson,christopher.jackson37@outlook.com,+1 (704) 579-21-78,Charlotte,Retail,2022-02-22
38,Emily,Walker,emily.walker38@outlook.com,+1 (202) 817-15-19,Washington,Wholesale,2024-04-03
39,Emily,Thompson,emily.thompson39@yahoo.com,+1 (206) 422-71-36,Seattle,VIP,2022-11-07
40,Jessica,Martin,jessica.martin40@icloud.com,+1 (212) 416-34-25,New York,Wholesale,2022-09-06
41,Barbara,White,barbara.white41@yahoo.com,+1 (210) 606-40-80,San Antonio,Retail,2024-03-05
42,Kimberly,Miller,kimberly.miller42@yahoo.com,+1 (704) 746-93-55,Charlotte,Retail,2022-09-25
43,James,Brown,james.brown43@yahoo.com,+1 (415) 677-22-70,San Francisco,Retail,2022-07-28
44,Donald,Nelson,donald.nelson44@outlook.com,+1 (614) 246-82-38,Columbus,Retail,2022-01-17
45,John,Harris,john.harris45@outlook.com,+1 (303) 793-63-47,Denver,Retail,2022-07-20
46,Patricia,Martin,patricia.martin46@yahoo.com,+1 (817) 783-41-73,Fort Worth,Wholesale,2022-09-21
47,Thomas,Adams,thomas.adams47@outlook.com,+1 (415) 857-72-68,San Francisco,Wholesale,2024-01-21
48,Betty,Taylor,betty.taylor48@outlook.com,+1 (215) 343-79-72,Philadelphia,VIP,2023-07-10
49,Ronald,Roberts,ronald.roberts49@gmail.com,+1 (213) 736-14-19,Los Angeles,Retail,2024-02-22
50,David,Harris,david.harris50@outlook.com,+1 (602) 845-39-18,Phoenix,Retail,2022-01-10
51,Jessica,Flores,jessica.flores51@icloud.com,+1 (704) 582-17-89,Charlotte,Retail,2023-11-07
52,Ashley,Lee,ashley.lee52@gmail.com,+1 (212) 744-80-62,New York,Retail,2022-01-18
53,Anthony,Flores,anthony.flores53@icloud.com,+1 (214) 748-46-12,Dallas,VIP,2024-04-05
54,Richard,Rivera,richard.rivera54@outlook.com,+1 (215) 309-22-77,Philadelphia,Retail,2022-09-04
55,Kevin,Sanchez,kevin.sanchez55@icloud.com,+1 (317) 458-55-44,Indianapolis,Retail,2022-03-22
56,William,Torres,william.torres56@outlook.com,+1 (817) 670-82-41,Fort Worth,Wholesale,2022-11-04
57,Nancy,Rivera,nancy.rivera57@gmail.com,+1 (312) 869-93-14,Chicago,Retail,2023-02-20
58,Timothy,Jackson,timothy.jackson58@gmail.com,+1 (206) 687-17-91,Seattle,Retail,2023-12-21
59,Nancy,Garcia,nancy.garcia59@gmail.com,+1 (415) 644-92-52,San Francisco,VIP,2023-06-25
60,Lisa,Perez,lisa.perez60@icloud.com,+1 (619) 416-98-82,San Diego,Retail,2022-10-05
61,Charles,Allen,charles.allen61@gmail.com,+1 (312) 487-79-82,Chicago,VIP,2022-07-03
62,Richard,Wright,richard.wright62@outlook.com,+1 (512) 216-36-85,Austin,Wholesale,2024-02-10
63,Kenneth,Sanchez,kenneth.sanchez63@outlook.com,+1 (817) 278-48-30,Fort Worth,Wholesale,2023-08-04
64,Andrew,Ramirez,andrew.ramirez64@icloud.com,+1 (817) 893-79-52,Fort Worth,Wholesale,2024-02-13
65,Steven,Rivera,steven.rivera65@gmail.com,+1 (312) 712-54-16,Chicago,Retail,2023-03-24
66,Timothy,Nguyen,timothy.nguyen66@icloud.com,+1 (312) 548-87-88,Chicago,Retail,2024-03-03
67,Sarah,White,sarah.white67@yahoo.com,+1 (214) 661-72-39,Dallas,VIP,2023-07-21
68,Kenneth,Clark,kenneth.clark68@icloud.com,+1 (614) 390-97-84,Columbus,Wholesale,2022-03-29
69,Jessica,Jackson,jessica.jackson69@yahoo.com,+1 (408) 452-19-20,San Jose,Retail,2022-06-07
70,Robert,Flores,robert.flores70@gmail.com,+1 (602) 598-50-56,Phoenix,Retail,2022-04-04
71,Mark,Rodriguez,mark.rodriguez71@gmail.com,+1 (408) 655-56-44,San Jose,Retail,2022-05-16
72,Joseph,Harris,joseph.harris72@icloud.com,+1 (614) 659-81-81,Columbus,Retail,2022-04-16
73,Donald,Harris,donald.harris73@yahoo.com,+1 (904) 767-21-86,Jacksonville,Retail,2024-06-03
74,Betty,Hernandez,betty.hernandez74@outlook.com,+1 (408) 623-59-20,San Jose,Retail,2023-08-09
75,Nancy,Baker,nancy.baker75@yahoo.com,+1 (817) 373-27-44,Fort Worth,Retail,2022-10-02
76,Emily,Wright,emily.wright76@icloud.com,+1 (312) 371-65-45,Chicago,Retail,2022-11-03
77,Robert,Jackson,robert.jackson77@icloud.com,+1 (312) 569-42-41,Chicago,Retail,2023-09-01
78,Donald,Brown,donald.brown78@gmail.com,+1 (704) 309-27-48,Charlotte,Retail,2023-02-10
79,Mark,Wilson,mark.wilson79@yahoo.com,+1 (202) 589-52-66,Washington,Wholesale,2023-03-17
80,John,Adams,john.adams80@outlook.com,+1 (202) 339-48-51,Washington,Retail,2023-05-06
81,Michael,Allen,michael.allen81@icloud.com,+1 (817) 526-47-98,Fort Worth,Wholesale,2023-08-13
82,Paul,Clark,paul.clark82@yahoo.com,+1 (512) 585-45-60,Austin,VIP,2022-04-27
83,Patricia,Thompson,patricia.thompson83@gmail.com,+1 (210) 806-79-33,San Antonio,Retail,2024-01-15
84,Thomas,Nguyen,thomas.nguyen84@gmail.com,+1 (210) 648-47-98,San Antonio,Wholesale,2024-04-18
85,Sarah,Wilson,sarah.wilson85@yahoo.com,+1 (614) 889-73-27,Columbus,Retail,2022-09-05
86,Sarah,Williams,sarah.williams86@icloud.com,+1 (602) 633-58-19,Phoenix,Retail,2023-09-05
87,Joshua,Baker,joshua.baker87@icloud.com,+1 (817) 747-74-98,Fort Worth,Retail,2023-07-11
88,Jason,Garcia,jason.garcia88@gmail.com,+1 (904) 749-86-91,Jacksonville,Wholesale,2022-04-22
89,Michael,Lee,michael.lee89@gmail.com,+1 (904) 370-92-88,Jacksonville,VIP,2023-07-31
90,Barbara,Thompson,barbara.thompson90@gmail.com,+1 (817) 539-65-23,Fort Worth,Retail,2022-04-11
91,Michael,Baker,michael.baker91@outlook.com,+1 (317) 731-81-84,Indianapolis,Retail,2023-04-02
92,Betty,Sanchez,betty.sanchez92@outlook.com,+1 (704) 895-85-98,Charlotte,VIP,2022-12-20
93,David,Thompson,david.thompson93@gmail.com,+1 (415) 307-47-63,San Francisco,Wholesale,2022-04-29
94,Daniel,Clark,daniel.clark94@icloud.com,+1 (602) 556-49-53,Phoenix,Retail,2024-03-14
95,Donald,Lee,donald.lee95@icloud.com,+1 (415) 556-70-22,San Francisco,Wholesale,2024-01-10
96,Barbara,Mitchell,barbara.mitchell96@gmail.com,+1 (512) 268-48-15,Austin,Wholesale,2022-01-24
97,Kimberly,Adams,kimberly.adams97@outlook.com,+1 (713) 893-31-41,Houston,Retail,2023-07-20
98,Kimberly,Williams,kimberly.williams98@icloud.com,+1 (206) 636-69-39,Seattle,Retail,2023-10-07
99,Joshua,Allen,joshua.allen99@outlook.com,+1 (614) 605-13-88,Columbus,Retail,2023-04-06
100,Linda,Thomas,linda.thomas100@yahoo.com,+1 (817) 204-37-36,Fort Worth,Wholesale,2024-02-10
101,Paul,Hall,paul.hall101@outlook.com,+1 (312) 791-23-78,Chicago,Retail,2023-01-10
102,Karen,Jackson,karen.jackson102@icloud.com,+1 (704) 316-43-95,Charlotte,VIP,2023-06-25
103,Edward,Hill,edward.hill103@icloud.com,+1 (512) 811-59-88,Austin,Retail,2023-08-25
104,Michael,Jackson,michael.jackson104@yahoo.com,+1 (904) 668-89-32,Jacksonville,Retail,2023-09-22
105,James,Thompson,james.thompson105@yahoo.com,+1 (602) 520-25-40,Phoenix,Retail,2022-04-30
106,Richard,Young,richard.young106@outlook.com,+1 (602) 723-59-63,Phoenix,Retail,2023-08-12
107,William,Smith,william.smith107@outlook.com,+1 (215) 698-91-78,Philadelphia,Retail,2023-07-23
108,William,Lopez,william.lopez108@icloud.com,+1 (408) 343-33-50,San Jose,Retail,2023-09-27
109,Joseph,Taylor,joseph.taylor109@outlook.com,+1 (904) 209-72-27,Jacksonville,Retail,2024-04-14
110,Susan,Carter,susan.carter110@icloud.com,+1 (206) 717-93-73,Seattle,Retail,2023-12-03
111,Sarah,Carter,sarah.carter111@gmail.com,+1 (704) 700-31-20,Charlotte,Wholesale,2024-03-25
112,Barbara,Carter,barbara.carter112@yahoo.com,+1 (408) 233-45-38,San Jose,Wholesale,2022-06-22
113,Michelle,Thompson,michelle.thompson113@gmail.com,+1 (303) 707-80-75,Denver,Retail,2023-08-10
114,Jennifer,Martinez,jennifer.martinez114@icloud.com,+1 (206) 575-79-15,Seattle,Retail,2023-07-14
115,Barbara,Miller,barbara.miller115@yahoo.com,+1 (614) 304-93-41,Columbus,VIP,2024-06-14
116,Ashley,Rivera,ashley.rivera116@icloud.com,+1 (704) 469-54-21,Charlotte,VIP,2024-06-05
117,Andrew,Torres,andrew.torres117@yahoo.com,+1 (619) 414-85-98,San Diego,Wholesale,2024-05-31
118,Joseph,Sanchez,joseph.sanchez118@outlook.com,+1 (614) 369-88-27,Columbus,Retail,2024-04-13
119,Jennifer,Davis,jennifer.davis119@yahoo.com,+1 (213) 783-54-78,Los Angeles,Retail,2023-09-04
120,Barbara,Rodriguez,barbara.rodriguez120@yahoo.com,+1 (512) 499-47-83,Austin,Retail,2024-05-28
121,Mary,Mitchell,mary.mitchell121@yahoo.com,+1 (713) 338-62-17,Houston,Wholesale,2024-06-06
122,Betty,Perez,betty.perez122@outlook.com,+1 (602) 455-28-51,Phoenix,Wholesale,2024-02-19
123,Susan,Miller,susan.miller123@yahoo.com,+1 (817) 701-28-83,Fort Worth,Retail,2023-10-05
124,David,Sanchez,david.sanchez124@icloud.com,+1 (704) 277-91-21,Charlotte,Wholesale,2023-06-12
125,John,Roberts,john.roberts125@gmail.com,+1 (904) 665-72-51,Jacksonville,Wholesale,2024-06-08
126,Brian,Torres,brian.torres126@yahoo.com,+1 (312) 669-91-95,Chicago,Retail,2024-05-20
127,Susan,Taylor,susan.taylor127@outlook.com,+1 (206) 607-37-64,Seattle,Retail,2023-05-22
128,Christopher,Brown,christopher.brown128@outlook.com,+1 (408) 545-80-83,San Jose,Wholesale,2023-08-03
129,Linda,Roberts,linda.roberts129@gmail.com,+1 (512) 898-16-15,Austin,Wholesale,2023-10-04
130,Michael,White,michael.white130@icloud.com,+1 (704) 216-25-30,Charlotte,Retail,2023-04-13
131,Jason,King,jason.king131@yahoo.com,+1 (614) 407-98-26,Columbus,Wholesale,2022-06-12
132,Donald,Thomas,donald.thomas132@yahoo.com,+1 (214) 295-93-56,Dallas,Retail,2022-03-26
133,Robert,Gonzalez,robert.gonzalez133@yahoo.com,+1 (215) 253-60-90,Philadelphia,Wholesale,2024-01-14
134,Linda,Martinez,linda.martinez134@gmail.com,+1 (619) 639-93-21,San Diego,Retail,2022-01-02
135,Donna,Johnson,donna.johnson135@icloud.com,+1 (312) 335-85-38,Chicago,Retail,2022-01-10
136,Steven,Nelson,steven.nelson136@outlook.com,+1 (512) 323-64-98,Austin,Retail,2023-05-05
137,Sandra,Carter,sandra.carter137@yahoo.com,+1 (817) 291-23-23,Fort Worth,Wholesale,2023-01-12
138,Sandra,Garcia,sandra.garcia138@outlook.com,+1 (602) 591-27-92,Phoenix,Retail,2022-03-12
139,Emily,Jackson,emily.jackson139@icloud.com,+1 (212) 824-93-31,New York,Wholesale,2022-12-26
140,Joshua,Scott,joshua.scott140@icloud.com,+1 (602) 621-88-97,Phoenix,Retail,2024-05-30
141,Thomas,Thompson,thomas.thompson141@icloud.com,+1 (713) 343-25-85,Houston,VIP,2022-12-26
142,Andrew,Taylor,andrew.taylor142@gmail.com,+1 (512) 343-41-45,Austin,Retail,2022-09-12
143,Kimberly,Davis,kimberly.davis143@gmail.com,+1 (202) 822-46-98,Washington,Wholesale,2024-05-18
144,Sandra,Adams,sandra.adams144@outlook.com,+1 (408) 410-76-87,San Jose,Retail,2024-02-05
145,Thomas,Young,thomas.young145@gmail.com,+1 (213) 445-73-59,Los Angeles,Retail,2022-09-04
146,Nancy,Smith,nancy.smith146@yahoo.com,+1 (202) 272-77-11,Washington,Retail,2022-11-21
147,Joseph,Nguyen,joseph.nguyen147@outlook.com,+1 (303) 630-56-79,Denver,Retail,2024-02-21
148,Betty,Ramirez,betty.ramirez148@gmail.com,+1 (312) 217-85-18,Chicago,Retail,2022-09-26
149,Paul,Torres,paul.torres149@icloud.com,+1 (213) 607-74-46,Los Angeles,Wholesale,2023-03-10
150,Daniel,White,daniel.white150@outlook.com,+1 (312) 855-78-78,Chicago,Retail,2022-10-12
151,Charles,Clark,charles.clark151@yahoo.com,+1 (312) 723-36-29,Chicago,Retail,2023-02-05
152,Timothy,Brown,timothy.brown152@outlook.com,+1 (312) 517-99-65,Chicago,Retail,2022-03-01
153,Timothy,Lopez,timothy.lopez153@gmail.com,+1 (614) 318-68-88,Columbus,Wholesale,2022-11-13
154,James,Jones,james.jones154@gmail.com,+1 (215) 322-11-27,Philadelphia,Retail,2022-06-17
155,David,Roberts,david.roberts155@outlook.com,+1 (904) 735-76-43,Jacksonville,Retail,2023-01-16
156,Emily,Young,emily.young156@icloud.com,+1 (214) 320-13-52,Dallas,Retail,2022-10-06
157,Jennifer,Torres,jennifer.torres157@icloud.com,+1 (214) 790-90-19,Dallas,Retail,2023-04-12
158,Richard,Miller,richard.miller158@yahoo.com,+1 (213) 711-82-31,Los Angeles,Retail,2022-06-11
159,Andrew,Martin,andrew.martin159@outlook.com,+1 (713) 787-96-24,Houston,Retail,2024-01-29
160,Jessica,Adams,jessica.adams160@icloud.com,+1 (213) 212-41-15,Los Angeles,Retail,2023-01-08
161,Kimberly,Martin,kimberly.martin161@icloud.com,+1 (602) 383-14-80,Phoenix,Retail,2022-08-18
162,Lisa,Johnson,lisa.johnson162@yahoo.com,+1 (614) 527-44-19,Columbus,Retail,2022-05-03
163,Jennifer,Smith,jennifer.smith163@gmail.com,+1 (213) 383-38-76,Los Angeles,Retail,2023-02-15
164,George,King,george.king164@gmail.com,+1 (704) 489-49-51,Charlotte,Retail,2023-07-21
165,Michelle,Miller,michelle.miller165@yahoo.com,+1 (904) 405-47-82,Jacksonville,Retail,2024-01-28
166,Steven,Hall,steven.hall166@outlook.com,+1 (704) 577-85-73,Charlotte,VIP,2024-01-21
167,Charles,Campbell,charles.campbell167@gmail.com,+1 (619) 354-10-62,San Diego,Retail,2022-08-27
168,Andrew,Brown,andrew.brown168@icloud.com,+1 (212) 543-10-94,New York,Wholesale,2024-05-19
169,Kevin,Allen,kevin.allen169@outlook.com,+1 (408) 306-36-77,San Jose,Retail,2023-03-06
170,Betty,Nguyen,betty.nguyen170@gmail.com,+1 (213) 345-45-21,Los Angeles,Wholesale,2022-08-26
171,Michael,Lewis,michael.lewis171@icloud.com,+1 (317) 622-99-57,Indianapolis,Retail,2024-02-05
172,Donald,Sanchez,donald.sanchez172@icloud.com,+1 (713) 717-27-91,Houston,Retail,2022-03-18
173,Ashley,Thompson,ashley.thompson173@outlook.com,+1 (213) 645-94-26,Los Angeles,Retail,2022-10-26
174,Elizabeth,Miller,elizabeth.miller174@yahoo.com,+1 (512) 602-99-51,Austin,Retail,2023-04-09
175,Paul,Martin,paul.martin175@gmail.com,+1 (312) 407-27-84,Chicago,Retail,2022-06-09
176,Mark,Allen,mark.allen176@gmail.com,+1 (704) 677-50-62,Charlotte,Retail,2023-07-03
177,Nancy,Jones,nancy.jones177@yahoo.com,+1 (210) 662-49-69,San Antonio,Retail,2024-05-22
178,Timothy,White,timothy.white178@gmail.com,+1 (215) 511-99-87,Philadelphia,Wholesale,2022-08-09
179,Linda,Nguyen,linda.nguyen179@yahoo.com,+1 (512) 351-21-41,Austin,Retail,2023-02-10
180,James,Martinez,james.martinez180@icloud.com,+1 (408) 466-32-13,San Jose,Retail,2024-05-25
181,Andrew,Green,andrew.green181@gmail.com,+1 (206) 455-22-69,Seattle,Wholesale,2024-04-03
182,James,Hernandez,james.hernandez182@outlook.com,+1 (713) 212-17-38,Houston,Wholesale,2022-07-22
183,Charles,Garcia,charles.garcia183@yahoo.com,+1 (904) 845-92-20,Jacksonville,Retail,2024-04-12
184,Donna,Robinson,donna.robinson184@outlook.com,+1 (312) 402-92-66,Chicago,VIP,2022-04-05
185,Mark,White,mark.white185@gmail.com,+1 (512) 325-15-69,Austin,VIP,2022-06-22
186,Mark,Torres,mark.torres186@icloud.com,+1 (614) 604-73-13,Columbus,Retail,2023-12-01
187,Joshua,Robinson,joshua.robinson187@yahoo.com,+1 (904) 419-33-45,Jacksonville,Wholesale,2023-04-02
188,James,Torres,james.torres188@outlook.com,+1 (213) 828-89-88,Los Angeles,Retail,2023-10-25
189,Susan,Robinson,susan.robinson189@gmail.com,+1 (614) 763-71-17,Columbus,Retail,2022-10-14
190,Ashley,Garcia,ashley.garcia190@outlook.com,+1 (614) 404-92-77,Columbus,VIP,2023-10-08
191,Richard,Jackson,richard.jackson191@icloud.com,+1 (206) 219-58-55,Seattle,Wholesale,2023-07-12
192,Steven,Garcia,steven.garcia192@icloud.com,+1 (904) 779-74-51,Jacksonville,Retail,2022-10-04
193,Donna,Harris,donna.harris193@yahoo.com,+1 (512) 811-38-13,Austin,Wholesale,2022-03-01
194,James,Harris,james.harris194@outlook.com,+1 (415) 742-55-84,San Francisco,Retail,2022-06-13
195,Sarah,Smith,sarah.smith195@outlook.com,+1 (619) 472-78-17,San Diego,Wholesale,2023-08-13
196,Donna,Scott,donna.scott196@outlook.com,+1 (817) 563-32-32,Fort Worth,Retail,2023-08-30
197,Joshua,Miller,joshua.miller197@yahoo.com,+1 (904) 805-13-99,Jacksonville,Retail,2023-08-05
198,Nancy,Taylor,nancy.taylor198@yahoo.com,+1 (303) 392-73-79,Denver,Retail,2022-06-29
199,Joshua,King,joshua.king199@outlook.com,+1 (312) 257-39-87,Chicago,Retail,2022-01-21
200,Daniel,Anderson,daniel.anderson200@outlook.com,+1 (212) 539-88-35,New York,Wholesale,2022-12-15
201,Andrew,Walker,andrew.walker201@outlook.com,+1 (512) 260-12-28,Austin,Retail,2024-03-03
202,William,Moore,william.moore202@icloud.com,+1 (317) 573-19-57,Indianapolis,Retail,2023-08-24
203,Patricia,Robinson,patricia.robinson203@icloud.com,+1 (408) 530-27-30,San Jose,Retail,2024-03-21
204,Matthew,Johnson,matthew.johnson204@yahoo.com,+1 (415) 864-50-32,San Francisco,Wholesale,2022-08-17
205,John,Carter,john.carter205@yahoo.com,+1 (215) 587-49-98,Philadelphia,Retail,2022-05-11
206,Ryan,Clark,ryan.clark206@gmail.com,+1 (212) 786-60-82,New York,Retail,2022-07-06
207,Charles,Robinson,charles.robinson207@gmail.com,+1 (202) 426-91-82,Washington,Retail,2023-05-24
208,Anthony,Miller,anthony.miller208@outlook.com,+1 (312) 443-54-50,Chicago,Wholesale,2023-10-14
209,Christopher,Davis,christopher.davis209@icloud.com,+1 (312) 886-91-52,Chicago,Retail,2022-01-12
210,Richard,King,richard.king210@gmail.com,+1 (619) 269-54-42,San Diego,Retail,2024-01-08
211,Robert,Baker,robert.baker211@icloud.com,+1 (817) 648-63-31,Fort Worth,Wholesale,2023-05-20
212,Timothy,Perez,timothy.perez212@icloud.com,+1 (904) 759-58-22,Jacksonville,Wholesale,2024-03-18
213,Linda,Williams,linda.williams213@gmail.com,+1 (619) 366-67-19,San Diego,Retail,2022-10-29
214,Karen,Harris,karen.harris214@outlook.com,+1 (214) 307-19-53,Dallas,Retail,2023-01-20
215,Nancy,Jackson,nancy.jackson215@icloud.com,+1 (312) 760-21-53,Chicago,Retail,2023-12-23
216,Sandra,Baker,sandra.baker216@gmail.com,+1 (215) 821-65-30,Philadelphia,Retail,2022-04-14
217,Anthony,Roberts,anthony.roberts217@yahoo.com,+1 (210) 619-99-80,San Antonio,Retail,2023-11-08
218,Christopher,Young,christopher.young218@icloud.com,+1 (619) 298-16-60,San Diego,Retail,2022-06-07
219,Christopher,White,christopher.white219@icloud.com,+1 (212) 637-21-47,New York,Retail,2022-07-24
220,Donald,Roberts,donald.roberts220@gmail.com,+1 (210) 374-91-47,San Antonio,Wholesale,2023-04-30
221,Susan,Garcia,susan.garcia221@yahoo.com,+1 (408) 607-70-72,San Jose,Retail,2022-04-04
222,Margaret,Jones,margaret.jones222@yahoo.com,+1 (817) 389-57-58,Fort Worth,Retail,2022-07-11
223,Robert,Hernandez,robert.hernandez223@outlook.com,+1 (214) 650-69-43,Dallas,Retail,2024-05-07
224,Matthew,Scott,matthew.scott224@gmail.com,+1 (213) 354-99-95,Los Angeles,Wholesale,2022-03-29
225,Ronald,Nguyen,ronald.nguyen225@gmail.com,+1 (206) 623-85-39,Seattle,Retail,2024-05-10
226,Ryan,Williams,ryan.williams226@icloud.com,+1 (317) 628-78-97,Indianapolis,Wholesale,2023-08-10
227,Kevin,Davis,kevin.davis227@gmail.com,+1 (415) 506-20-60,San Francisco,Retail,2023-05-30
228,Ashley,Allen,ashley.allen228@outlook.com,+1 (317) 785-96-89,Indianapolis,VIP,2022-05-04
229,Charles,Davis,charles.davis229@outlook.com,+1 (704) 377-31-37,Charlotte,Retail,2022-05-10
230,Kevin,Martinez,kevin.martinez230@outlook.com,+1 (312) 899-65-35,Chicago,Retail,2024-05-04
231,Mark,Carter,mark.carter231@icloud.com,+1 (512) 268-21-59,Austin,Retail,2023-07-20
232,William,Thomas,william.thomas232@icloud.com,+1 (214) 732-68-11,Dallas,Retail,2022-04-26
233,Kenneth,Mitchell,kenneth.mitchell233@gmail.com,+1 (602) 780-85-84,Phoenix,Retail,2022-04-19
234,Elizabeth,Roberts,elizabeth.roberts234@icloud.com,+1 (713) 492-78-54,Houston,Retail,2022-09-28
235,David,Moore,david.moore235@gmail.com,+1 (415) 785-87-70,San Francisco,Retail,2022-06-26
236,Kevin,Smith,kevin.smith236@icloud.com,+1 (602) 833-87-97,Phoenix,Retail,2022-02-09
237,David,Scott,david.scott237@yahoo.com,+1 (512) 443-16-70,Austin,Retail,2023-01-17
238,Ashley,Wright,ashley.wright238@gmail.com,+1 (408) 518-45-72,San Jose,Retail,2024-06-08
239,Jason,Rodriguez,jason.rodriguez239@icloud.com,+1 (408) 653-51-44,San Jose,Retail,2023-09-12
240,Matthew,Lee,matthew.lee240@icloud.com,+1 (210) 652-37-62,San Antonio,Retail,2024-02-17
241,Jessica,Lee,jessica.lee241@gmail.com,+1 (904) 257-75-30,Jacksonville,Wholesale,2022-11-15
242,John,Lopez,john.lopez242@gmail.com,+1 (817) 338-77-82,Fort Worth,Retail,2022-06-27
243,Jason,Scott,jason.scott243@icloud.com,+1 (210) 259-41-14,San Antonio,VIP,2022-02-21
244,George,Green,george.green244@icloud.com,+1 (210) 480-57-69,San Antonio,VIP,2023-10-13
245,Jason,Gonzalez,jason.gonzalez245@icloud.com,+1 (212) 447-57-72,New York,VIP,2022-07-01
246,Steven,Brown,steven.brown246@yahoo.com,+1 (415) 800-80-54,San Francisco,Wholesale,2022-06-17
247,Richard,Davis,richard.davis247@icloud.com,+1 (214) 292-46-13,Dallas,Retail,2022-02-20
248,Emily,Carter,emily.carter248@outlook.com,+1 (303) 419-38-92,Denver,Retail,2023-11-25
249,Donna,Green,donna.green249@gmail.com,+1 (614) 725-12-97,Columbus,VIP,2023-05-01
250,Donna,Adams,donna.adams250@yahoo.com,+1 (215) 815-11-38,Philadelphia,Wholesale,2023-09-15
251,Joshua,Mitchell,joshua.mitchell251@icloud.com,+1 (408) 858-45-64,San Jose,Retail,2024-05-22
252,Joseph,Jones,joseph.jones252@icloud.com,+1 (214) 423-69-48,Dallas,Retail,2023-08-22
253,Robert,Martin,robert.martin253@yahoo.com,+1 (317) 878-57-81,Indianapolis,Wholesale,2022-11-02
